Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.1120     25709457936.7729 25709457858.1212      78.6517  22536.2
0.1130     25952199938.4562 25952199859.8429      78.6133  22525.2
0.1140     25908416039.3112 25908415960.7945      78.5167  22497.5
0.1150     25494511413.5850 25494511335.1768      78.4082  22466.4
0.1160     25596747574.3382 25596747496.0726      78.2657  22425.6
0.1170     25794123182.0538 25794123103.6808      78.3731  22456.3
0.1180     25513439253.8838 25513439175.2379      78.6459  22534.5
0.1190     25735573674.0271 25735573595.2839      78.7432  22562.4
0.1200     25497838520.8925 25497838442.1065      78.7860  22574.7
0.1210     25280250847.6148 25280250768.8251      78.7897  22575.7
0.1220     25267195366.5749 25267195287.7906      78.7843  22574.2
0.1230     24967725250.4433 24967725171.6628      78.7806  22573.1
0.1240     24794612104.1085 24794612025.3242      78.7843  22574.2
0.1250     24757058111.4948 24757058032.7044      78.7904  22575.9
0.1260     24920348244.2807 24920348165.4792      78.8015  22579.1
0.1270     25034320105.2383 25034320026.4328      78.8054  22580.2
0.1280     24742378141.3574 24742378062.5503      78.8071  22580.7
0.1290     24853362834.4781 24853362755.6759      78.8022  22579.3
0.1300     24791459565.8010 24791459487.0037      78.7973  22577.9
0.1310     24901613231.5539 24901613152.7619      78.7921  22576.4
0.1320     24851990461.6044 24851990382.8214      78.7830  22573.8
0.1330     24721243019.7631 24721242940.9973      78.7658  22568.9
0.1340     24354992556.0081 24354992476.9831      79.0250  22643.1
0.1350     24730257629.0078 24730257548.7624      80.2454  22992.8
0.1360     24776133929.1998 24776133848.9480      80.2519  22994.7
0.1370     24868447312.1479 24868447231.8968      80.2511  22994.5
0.1380     24473670670.5444 24473670591.2677      79.2767  22715.3
0.1390     24557807708.0964 24557807629.7376      78.3589  22452.3
0.1400     24412450396.6549 24412450318.3076      78.3473  22449.0
0.1410     25065157317.3997 25065157239.0668      78.3329  22444.8
0.1420     24810143816.8563 24810143738.5322      78.3241  22442.3
0.1430     24758876165.4348 24758876087.1165      78.3183  22440.7
0.1440     24162013693.9511 24162013615.6458      78.3054  22436.9
0.1450     24756438166.9439 24756438088.6562      78.2877  22431.9
0.1460     24955910069.3194 24955909991.0396      78.2798  22429.6
0.1470     25281825388.9391 25281825310.6587      78.2805  22429.8
0.1480     25363221522.8426 25363221444.5611      78.2815  22430.1
0.1490     25336810348.9513 25336810270.6681      78.2832  22430.6
0.1500     25084288813.6207 25084288735.3362      78.2845  22431.0
